"4407.10.10 — Lumber, coniferous (softwood), end-jointed, thickness exceeding 6mm (Terminated 2017-12)",,,,,,
Domestic exports by province and trade partner — January 2017,,,,,,
,,,,,,
Province,Country,State,Value ($),Quantity,Average unit price,Unit of measure
Nova Scotia,Pakistan,N/A,64686,230,281,Volume in cubic metres
New Brunswick,United States,Minnesota,69491,121,574,Volume in cubic metres
Quebec,United States,North Carolina,223302,167,1337,Volume in cubic metres
Quebec,United States,Massachusetts,490836,505,972,Volume in cubic metres
Quebec,United States,New York,51272,89,576,Volume in cubic metres
Quebec,Pakistan,N/A,114240,319,358,Volume in cubic metres
Quebec,United States,Connecticut,15104,17,888,Volume in cubic metres
Quebec,Bermuda,N/A,8751,30,292,Volume in cubic metres
Quebec,United States,Iowa,48473,52,932,Volume in cubic metres
Quebec,United States,Oregon,21941,93,236,Volume in cubic metres
Quebec,China,N/A,658876,2376,277,Volume in cubic metres
Quebec,United States,Ohio,28132,50,563,Volume in cubic metres
Quebec,United States,Michigan,60973,58,1051,Volume in cubic metres
Quebec,United States,Colorado,8596,44,195,Volume in cubic metres
Quebec,France,N/A,43803,102,429,Volume in cubic metres
Quebec,Mexico,N/A,443490,379,1170,Volume in cubic metres
Ontario,Italy,N/A,400,0,...,Volume in cubic metres
Alberta,United States,Texas,366417,1566,234,Volume in cubic metres
Alberta,United States,California,10609,82,129,Volume in cubic metres
Alberta,Cuba,N/A,399,2,200,Volume in cubic metres
Alberta,United States,Arizona,32366,241,134,Volume in cubic metres
Alberta,United States,Indiana,16434,76,216,Volume in cubic metres
British Columbia,United States,Kansas,69681,263,265,Volume in cubic metres
British Columbia,United States,Louisiana,65681,270,243,Volume in cubic metres
British Columbia,United States,Ohio,67327,264,255,Volume in cubic metres
British Columbia,United States,Washington,538750,2031,265,Volume in cubic metres
British Columbia,United States,Florida,7613,11,692,Volume in cubic metres
British Columbia,United States,South Carolina,71982,270,267,Volume in cubic metres
British Columbia,Japan,N/A,537633,1002,537,Volume in cubic metres
British Columbia,United States,Oklahoma,253014,1053,240,Volume in cubic metres
British Columbia,United States,Oregon,125699,446,282,Volume in cubic metres
British Columbia,Trinidad and Tobago,N/A,24256,76,319,Volume in cubic metres
British Columbia,United States,Arizona,138872,602,231,Volume in cubic metres
British Columbia,United States,Idaho,876944,3627,242,Volume in cubic metres
British Columbia,Norway,N/A,26382,40,660,Volume in cubic metres
British Columbia,Pakistan,N/A,670362,2310,290,Volume in cubic metres
British Columbia,United States,Michigan,68746,264,260,Volume in cubic metres
British Columbia,United States,California,79045,291,272,Volume in cubic metres
British Columbia,United States,Alabama,493513,2152,229,Volume in cubic metres
British Columbia,United States,Georgia,275643,1222,226,Volume in cubic metres
British Columbia,United States,New York,672416,2816,239,Volume in cubic metres
British Columbia,United States,Pennsylvania,587343,2358,249,Volume in cubic metres
British Columbia,United States,Texas,2754921,11477,240,Volume in cubic metres
British Columbia,United States,Indiana,58846,270,218,Volume in cubic metres
British Columbia,"Korea, South",N/A,65902,100,659,Volume in cubic metres
British Columbia,China,N/A,148930,615,242,Volume in cubic metres
British Columbia,United States,Missouri,139398,529,264,Volume in cubic metres
,,,,,,
,,,,,,
How to cite: Statistics Canada. Canadian International Merchandise Trade Web Application,,,,,,
https://www150.statcan.gc.ca/n1/pub/71-607-x/71-607-x2021004-eng.htm,,,,,,
Accessed date: 2025-11-26,,,,,,
