"4407.10.10 — Lumber, coniferous (softwood), end-jointed, thickness exceeding 6mm (Terminated 2017-12)",
"Total exports (HS 4407.10.10), Canada — The world",
,
,Quantity
,Volume in cubic metres
Jan-12,21622
Feb-12,35821
Mar-12,34434
Apr-12,34527
May-12,35044
Jun-12,35522
Jul-12,36424
Aug-12,38969
Sep-12,30053
Oct-12,41076
Nov-12,47035
Dec-12,38883
Jan-13,24854
Feb-13,32503
Mar-13,38844
Apr-13,44557
May-13,30227
Jun-13,31159
Jul-13,44820
Aug-13,38947
Sep-13,35171
Oct-13,41259
Nov-13,41337
Dec-13,30970
Jan-14,27116
Feb-14,24885
Mar-14,28818
Apr-14,45968
May-14,41888
Jun-14,39037
Jul-14,47042
Aug-14,34724
Sep-14,36493
Oct-14,44063
Nov-14,34290
Dec-14,39790
Jan-15,28888
Feb-15,35036
Mar-15,39428
Apr-15,37157
May-15,38059
Jun-15,43915
Jul-15,41541
Aug-15,36654
Sep-15,40624
Oct-15,43293
Nov-15,43437
Dec-15,42975
Jan-16,36122
Feb-16,43470
Mar-16,53412
Apr-16,43713
May-16,45051
Jun-16,44785
Jul-16,44138
Aug-16,47539
Sep-16,40845
Oct-16,40057
Nov-16,46255
Dec-16,42185
Jan-17,40958
,
,
How to cite: Statistics Canada. Canadian International Merchandise Trade Web Application,
https://www150.statcan.gc.ca/n1/pub/71-607-x/71-607-x2021004-eng.htm,
Accessed date: 2025-11-26,
