start_date,end_date,event,weighted_tariff,west_fraser_rate,canfor_rate,resolute_rate,jdi_rate,all_others_rate,west_fraser_weight,canfor_weight,resolute_weight,jdi_weight,all_others_weight
2017-04-28,2018-12-31,AR1 final,0.092,0.0816,0.0493,0.1986,0.0500,0.0883,0.136,0.111,0.096,0.055,0.602
2019-01-01,2019-12-31,AR2 final,0.181,0.1114,0.1954,0.2966,0.1505,0.1791,0.136,0.111,0.096,0.055,0.602
2020-01-01,2020-12-31,AR3 final,0.091,0.0825,0.0587,0.1486,0.1400,0.0859,0.136,0.111,0.096,0.055,0.602
2021-01-01,2021-12-31,AR4 final,0.080,0.0925,0.0661,0.0805,0.0798,0.0805,0.136,0.111,0.096,0.055,0.602
2022-01-01,2022-12-31,AR5 final,0.141,0.1189,0.1658,0.1440,0.1154,0.1440,0.136,0.111,0.096,0.055,0.602
2023-01-01,2023-12-31,AR5 final (still effective),0.141,0.1189,0.1658,0.1440,0.1154,0.1440,0.136,0.111,0.096,0.055,0.602
2024-01-01,2025-07-28,AR5 final (still effective),0.141,0.1189,0.1658,0.1440,0.1154,0.1440,0.136,0.111,0.096,0.055,0.602
2025-07-29,2025-08-11,AR6 AD final + AR5 CVD bridge,0.275,0.1650,0.4167,0.2730,0.2730,0.2730,0.136,0.111,0.096,0.055,0.602
2025-08-12,2025-09-10,AR6 final (pre-amend),0.354,0.2647,0.4765,0.3519,0.3519,0.3519,0.136,0.111,0.096,0.055,0.602
2025-09-11,,AR6 amended final,0.354,0.2647,0.4759,0.3516,0.3516,0.3516,0.136,0.111,0.096,0.055,0.602
